County,2020 Total Crash Fatalities,2020 Total Index Crimes Reported,"2020 Model-Based Estimate of Median Household Income, Dollars","2020 Average Weekly Wages, All Industries, Dollars",2020-21 Public Schools,2019 Public School CCRPI Score,"2020-21 Most Recent SAT Administration Average Scores, Combined",2019-20 ACT Composite Score,2016-2020 Mean Travel Time in Minutes,"2020 Votes Cast for President, Democratic Party, Percent","2020 Votes Cast for President, Republican Party, Percent",2020 Total Persons in Poverty,2020 Unemployment Rate,median gross rent (2017 - 2021),median value of owner-occupied housing units (2017 - 2021),Est. Population,Avg_Temp,Max_Temp,Min_Temp,Percipitation
UNION,5,0,"$48,233 ",$740 ,4,74.9,"1,214",19,45.8,32.60%,66.70%,"3,969",6.50%,,,"26,240",63.8°F,75.6°F,51.9°F,"50.09"""
UPSON,4,428,"$49,388 ",$732 ,15,73.5,"1,059",20,56.1,19.70%,78.90%,"9,650",4.90%,,,"68,610",60.3°F,70.8°F,49.8°F,"66.04"""
WALKER,12,950,"$71,390 ",$907 ,15,80.7,"1,048",22,64.9,24.80%,74.10%,"10,898",5.30%,,,"88,695",62.8°F,74.2°F,51.4°F,"51.79"""
WALTON,9,583,"$39,994 ",$720 ,9,75.8,-,-,21,29.40%,69.80%,"8,660",5.50%,,,"35,690",67.0°F,78.3°F,55.6°F,"55.20"""
WARE,9,9,"$40,422 ",$857 ,3,69.5,986,18,26.2,55.40%,44.00%,"1,204",6.70%,,,"5,410",63.5°F,75.0°F,51.9°F,"49.79"""
WARREN,4,200,"$43,309 ",$795 ,4,68.9,"1,072",18,22.5,50.00%,49.30%,"3,887",6.40%,,,"20,505",64.4°F,76.2°F,52.5°F,"49.95"""
WASHINGTON,5,0,"$48,885 ",$861 ,8,73.2,-,17,47.9,21.00%,78.20%,"5,497",5.50%,,,"29,835",67.0°F,78.6°F,55.3°F,"60.38"""
WAYNE,8,0,"$45,381 ",$786 ,2,72.6,-,-,53.9,46.00%,53.80%,482,5.60%,,,"2,625",65.0°F,76.1°F,53.9°F,"56.80"""
WEBSTER,0,41,"$36,671 ",$721 ,3,71.2,"1,106",22,32.3,30.20%,69.30%,"1,864",7.20%,,,"7,950",66.0°F,77.5°F,54.5°F,"62.63"""
WHEELER,3,330,"$58,831 ",$658 ,6,79.6,"1,050",20,28.7,16.30%,82.50%,"3,778",4.30%,,,"28,510",58.7°F,69.6°F,47.7°F,"70.56"""
WHITE,3,"1,342","$56,249 ",$892 ,22,77.9,"1,060",15,41.1,29.00%,69.70%,"13,347",7.20%,,,"103,965",60.7°F,71.6°F,49.9°F,"66.39"""
WHITFIELD,16,68,"$40,856 ",$683 ,3,75.7,945,18,55.1,26.30%,73.30%,"1,851",6.00%,,,"8,895",66.0°F,77.5°F,54.5°F,"53.29"""
WILCOX,5,271,"$42,071 ",$729 ,4,72.2,997,17,52.3,42.90%,56.10%,"1,919",6.70%,,,"9,905",62.9°F,73.9°F,52.0°F,"47.33"""
WILKES,4,65,"$44,068 ",$823 ,4,59.7,"1,023",17,50.2,43.50%,55.90%,"1,732",5.30%,,,"9,145",65.0°F,77.0°F,52.9°F,"51.19"""
WILKINSON,7,324,"$47,907 ",$709 ,5,66.4,"143,077","2,538",55.3,25.80%,73.60%,"3,590",5.40%,,,"20,810",65.9°F,76.8°F,55.0°F,"54.34"""
WORTH,7,"150,748","$62,800 ","$1,132 ","2,310",-,"1,094",21,28.7,49.50%,49.30%,"1,465,325",6.50%,,,,,,,
GEORGIA,"1,664",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Sources: Georgia Department of Transportation, “Georgia Department of Transportation Office Of Transportation Data, Mileage by Route and Road System Report"", 445 Report.",,,,,,,,,,,,,,,,,,,,
"Georgia Department of Transportation, “Georgia Department of Transportation Office Of Transportation Data, County Mileage Of Public Roads in Georgia By Surface Type,” 441 Report.",,,,,,,,,,,,,,,,,,,,
Federal Aviation Administration Airport Data & Contact Information.,,,,,,,,,,,,,,,,,,,,
"National Highway Traffic Safety Administration, State Traffic Safety Facts, Georgia.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Notes: Alcohol impairment is defined as driver BAC .08+,,,,,,,,,,,,,,,,,,,,
"Rank: 1 = highest (range, 1-159). When counties share the same rank, a range is shown.",,,,,,,,,,,,,,,,,,,,
"Rates per 100,000 population.",,,,,,,,,,,,,,,,,,,,
"+ indicates that one airfield in the county is an air carrier or commuter airport. ~ indicates that one airfield is privately owned, but open to the public.",,,,,,,,,,,,,,,,,,,,
